"date","china","india","malaysia","australia","philippines","japan","united_kingdom","thailand","germany","hong_kong_sar_china"
2024-06-01,216170,120009,83913,88548,75957,33853,28489,25664,13930,25388
2024-07-01,412805,89642,83146,105706,72558,51143,42188,32863,21116,33929
2024-08-01,403138,91805,79895,82959,60174,81803,47305,27966,27501,35682
2024-09-01,217205,87767,112151,110930,55976,57825,43032,27707,23795,26627
2024-10-01,234528,102233,103432,100935,61489,51819,43943,44447,26180,25197
2024-11-01,174751,92905,101920,92661,66942,44327,48607,26740,26020,24541
2024-12-01,193483,103740,105622,122321,72162,43001,44650,30436,31729,23487
2025-01-01,376481,85400,102328,141337,49088,40053,56474,23423,39376,25869
2025-02-01,267974,74869,105762,85012,50154,55785,60238,26711,39200,21228
2025-03-01,187036,101198,104150,81781,51623,65548,63276,29757,37577,23378
2025-04-01,207505,118660,109253,116848,69047,31817,56713,41843,30761,34549
2025-05-01,242013,154403,111673,90145,74560,40441,37413,39123,26299,32814
2025-06-01,197185,112726,100986,90887,66647,35118,30327,26174,15844,27750
2025-07-01,414488,85791,88384,121503,62381,56097,47971,36228,23199,38198
2025-08-01,398206,91142,88675,84925,61462,92867,53247,31917,32190,38784
2025-09-01,207028,99038,120634,107322,51355,59315,39297,26947,25397,22474
2025-10-01,226010,103054,110303,116372,64398,54862,47267,49763,26922,26182
2025-11-01,203532,84252,117163,103828,59859,53018,49372,27797,24859,25066
2025-12-01,172688,96629,116067,127468,65491,42592,45761,26805,34756,21355
