date,avg_stay_monthly,hotel_occ,spend_per_capita,tourism_receipts,avg_stay_annual,visitor_arrivals,visitor_arrivals_china,year,month,quarter,period,china_share,china_share_pct,avg_stay_monthly_capped,visitor_arrivals_millions,visitor_arrivals_china_thousands,cluster_z_visitor_arrivals,cluster_z_china_share,cluster_z_hotel_occ,cluster_z_avg_stay_monthly_capped,hotel_occ_level_tertile,hotel_occ_level_business,dataset_split
2024-01-01,3.49473239,78.01252826,NA,NA,NA,1419956,211150,2024,1,1,recovery,0.14870179075971368,14.870179075971368,3.49473239,1.419956,211.15,0.62170755002119,-0.2143665058098471,0.0884169516302577,-0.5160601957675514,medium,medium,train
2024-02-01,3.50327036,83.19153921,NA,NA,NA,1417807,326860,2024,2,1,recovery,0.2305391354394498,23.05391354394498,3.50327036,1.417807,326.86,0.6181848525655205,0.46698293450776773,0.4981242283946176,-0.5151898914526556,medium,medium,train
2024-03-01,3.33834727,83.41271879,NA,8077.16805887,NA,1464865,247622,2024,3,1,recovery,0.16904083311431428,16.904083311431428,3.33834727,1.464865,247.622,0.6953235667902281,-0.04503067045087332,0.5156215622045961,-0.5320010628262866,medium,medium,train
2024-04-01,3.4328891,77.96882822,NA,NA,NA,1343319,220332,2024,4,2,recovery,0.1640206086566184,16.40206086566184,3.4328891,1.343319,220.332,0.4960821591835232,-0.08682732377468096,0.08495987757582081,-0.5223640926112203,low,medium,test
2024-05-01,3.70187269,78.76344845,NA,NA,NA,1277160,222010,2024,5,2,recovery,0.1738310000313195,17.38310000313195,3.70187269,1.27716,222.01,0.3876325821850865,-0.00514939667907655,0.1478216273651635,-0.49494568062182287,medium,medium,test
2024-06-01,3.79600444,76.91959518,NA,14923.35371873,NA,1250293,216170,2024,6,2,recovery,0.17289547330105823,17.289547330105822,3.79600444,1.250293,216.17,0.34359148747058055,-0.012938268820030931,0.0019559187775502556,-0.4853505112556063,low,medium,test
2024-07-01,3.66469904,89.38596473,NA,NA,NA,1602603,412805,2024,7,3,recovery,0.25758406791950345,25.758406791950346,3.66469904,1.602603,412.805,0.921107327678553,0.692149692799169,0.988160112740228,-0.498734917172832,high,high,test
2024-08-01,3.6975754,87.84829851,NA,NA,NA,1539828,403138,2024,8,3,recovery,0.2618071628779318,26.18071628779318,3.6975754,1.539828,403.138,0.8182048926950002,0.7273097214828196,0.8665166086714168,-0.49538371800416997,high,high,test
2024-09-01,3.55457963,83.09800989,NA,22421.03985439,NA,1270681,217205,2024,9,3,recovery,0.17093589972620982,17.093589972620983,3.55457963,1.270681,217.205,0.3770120345744384,-0.029253000972071938,0.49072520117402,-0.5099597630878165,medium,medium,test
2024-10-01,3.48693737,81.17976198,NA,NA,NA,1314493,234528,2024,10,4,recovery,0.17841707791521141,17.84170779152114,3.48693737,1.314493,234.528,0.4488298200224577,0.03303270235738538,0.3389741940893514,-0.5168547686625952,medium,medium,test
2024-11-01,3.53702158,81.71282475,NA,NA,NA,1234698,174751,2024,11,4,recovery,0.14153339521081268,14.153339521081268,3.53702158,1.234698,174.751,0.31802775232811137,-0.2740480890079926,0.3811443493467305,-0.5117495148292907,medium,medium,test
2024-12-01,3.49854894,75.11278097,1802.03624253,29781.07084459,3.55805608,1390641,193483,2024,12,4,recovery,0.13913224189420562,13.913224189420562,3.49854894,1.390641,193.483,0.5736536291682574,-0.2940392614340953,-0.1409796603793633,-0.5156711618481283,low,medium,test
2025-01-01,3.52215261,81.80868991,NA,NA,NA,1633495,376481,2025,1,1,recovery,0.23047575903201417,23.047575903201416,3.52215261,1.633495,376.481,0.9717463085070979,0.46645528444892737,0.3887281629395905,-0.5132651595023281,medium,medium,test
2025-02-01,3.46523707,83.82109185,NA,NA,NA,1377513,267974,2025,2,1,recovery,0.19453464323022723,19.453464323022722,3.46523707,1.377513,267.974,0.5521338654651258,0.16722197926567964,0.5479276175367497,-0.5190667540320131,medium,medium,test
