"cluster","visitor_arrivals","china_share","hotel_occ","avg_stay_monthly_capped"
"State 1",1367457.12195122,0.157029027116782,83.2962114404878,3.57951386402439
"State 2",159791.153846154,0.0458434496859145,60.3564749530769,18.1555730369231
"State 3",17787.6,0.381139977537448,56.2341523013333,27.4488795646667
